Trying 192.168.0.22...
Connected to graspr.
Escape character is '^]'.
START OF RUN:
1411434538163,channel 14,15,16,DEC(14),DEC(15),DEC(16)
1411434521939,0001101100110001,0000000000000000,0000000000000000,6961,0,0
1411434521941,0001101101101110,0000000000000000,0000000000000000,7022,0,0
1411434521943,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521944,0001101100101001,0000000000000000,0000000000000000,6953,0,0
1411434521946,0001101011100111,0000000000000000,0000000000000000,6887,0,0
1411434521948,0001101100000010,0000000000000000,0000000000000000,6914,0,0
1411434521949,0001101100100001,0000000000000000,0000000000000000,6945,0,0
1411434521951,0001101100101000,0000000000000000,0000000000000000,6952,0,0
1411434521953,0001101101010010,0000000000000000,0000000000000000,6994,0,0
1411434521954,0001101011001101,0000000000000000,0000000000000000,6861,0,0
1411434521956,0001101010110010,0000000000000000,0000000000000000,6834,0,0
1411434521958,0001101100101000,0000000000000000,0000000000000000,6952,0,0
1411434521959,0001101100100111,0000000000000000,0000000000000000,6951,0,0
1411434521961,0001101011000101,0000000000000000,0000000000000000,6853,0,0
1411434521963,0001101100111100,0000000000000000,0000000000000000,6972,0,0
1411434521964,0001101100100011,0000000000000000,0000000000000000,6947,0,0
1411434521966,0001101010001011,0000000000000000,0000000000000000,6795,0,0
1411434521968,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521969,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521971,0001101100101011,0000000000000000,0000000000000000,6955,0,0
1411434521973,0001101100110011,0000000000000000,0000000000000000,6963,0,0
1411434521974,0001101011111001,0000000000000000,0000000000000000,6905,0,0
1411434521976,0001101011101101,0000000000000000,0000000000000000,6893,0,0
1411434521977,0001101011000011,0000000000000000,0000000000000000,6851,0,0
1411434521980,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521982,0001101010110001,0000000000000000,0000000000000000,6833,0,0
1411434521984,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521986,0001101100111011,0000000000000000,0000000000000000,6971,0,0
